------------------------ Sentence Scores --------------------------
====================== HTK Results Analysis =======================
  Date: Mon Sep 22 21:08:01 2014
  Ref : >sh/Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalPhones.mlf
  Rec : >Documents/ThesisData/ASR/ClassifierTraining/Configs/EvalMFCPhones.mlf
-------------------------- File Results ---------------------------
3ums_003ut00dB.rec:   38.78(-38.21)  [H= 204, D= 40, S=282, I=405, N=526]
3ums_003ut03dB.rec:   39.16(-38.97)  [H= 206, D= 51, S=269, I=411, N=526]
3ums_005ut-3dB.rec:   39.16(-36.50)  [H= 206, D= 42, S=278, I=398, N=526]
3ums_005ut00dB.rec:   38.59(-39.92)  [H= 203, D= 39, S=284, I=413, N=526]
3ums_005ut03dB.rec:   38.02(-37.26)  [H= 200, D= 44, S=282, I=396, N=526]
3ums_010ut-3dB.rec:   38.40(-37.64)  [H= 202, D= 42, S=282, I=400, N=526]
3ums_010ut00dB.rec:   38.97(-38.02)  [H= 205, D= 50, S=271, I=405, N=526]
3ums_010ut03dB.rec:   38.02(-38.02)  [H= 200, D= 43, S=283, I=400, N=526]
3ums_015ut-3dB.rec:   39.16(-40.11)  [H= 206, D= 38, S=282, I=417, N=526]
3ums_015ut00dB.rec:   38.40(-40.30)  [H= 202, D= 42, S=282, I=414, N=526]
3ums_015ut03dB.rec:   38.40(-36.31)  [H= 202, D= 30, S=294, I=393, N=526]
3ums_020ut-3dB.rec:   38.21(-40.30)  [H= 201, D= 39, S=286, I=413, N=526]
3ums_020ut00dB.rec:   37.64(-36.69)  [H= 198, D= 35, S=293, I=391, N=526]
3ums_020ut03dB.rec:   38.59(-38.78)  [H= 203, D= 40, S=283, I=407, N=526]
3ums_030ut-3dB.rec:   38.02(-41.25)  [H= 200, D= 39, S=287, I=417, N=526]
3ums_030ut00dB.rec:   39.73(-40.30)  [H= 209, D= 56, S=261, I=421, N=526]
3ums_030ut03dB.rec:   38.59(-39.92)  [H= 203, D= 45, S=278, I=413, N=526]
3ums_040ut-3dB.rec:   39.73(-40.30)  [H= 209, D= 48, S=269, I=421, N=526]
3ums_040ut00dB.rec:   39.35(-39.73)  [H= 207, D= 53, S=266, I=416, N=526]
3ums_040ut03dB.rec:   38.59(-38.02)  [H= 203, D= 41, S=282, I=403, N=526]
3ums_050ut-3dB.rec:   38.97(-40.49)  [H= 205, D= 43, S=278, I=418, N=526]
3ums_050ut00dB.rec:   38.02(-38.21)  [H= 200, D= 39, S=287, I=401, N=526]
3ums_050ut03dB.rec:   38.59(-38.21)  [H= 203, D= 45, S=278, I=404, N=526]
3ums_060ut-3dB.rec:   39.16(-40.30)  [H= 206, D= 47, S=273, I=418, N=526]
3ums_060ut00dB.rec:   38.59(-39.92)  [H= 203, D= 50, S=273, I=413, N=526]
3ums_060ut03dB.rec:   38.40(-37.26)  [H= 202, D= 34, S=290, I=398, N=526]
3ums_070ut-3dB.rec:   39.35(-39.73)  [H= 207, D= 39, S=280, I=416, N=526]
3ums_070ut00dB.rec:   38.21(-37.83)  [H= 201, D= 42, S=283, I=400, N=526]
3ums_070ut03dB.rec:   38.40(-39.35)  [H= 202, D= 43, S=281, I=409, N=526]
3ums_080ut-3dB.rec:   38.02(-40.30)  [H= 200, D= 43, S=283, I=412, N=526]
3ums_080ut00dB.rec:   38.40(-38.59)  [H= 202, D= 35, S=289, I=405, N=526]
3ums_080ut03dB.rec:   38.78(-38.78)  [H= 204, D= 49, S=273, I=408, N=526]
4test_clean.rec:   63.69( 55.51)  [H= 335, D= 53, S=138, I= 43, N=526]
4test_dirty-3dB.rec:   41.44(-17.49)  [H= 218, D= 56, S=252, I=310, N=526]
4test_dirty-6dB.rec:   38.97(-19.96)  [H= 205, D= 46, S=275, I=310, N=526]
4test_dirty0dB.rec:   42.40(-15.21)  [H= 223, D= 42, S=261, I=303, N=526]
4test_dirty3dB.rec:   45.63(-12.74)  [H= 240, D= 38, S=248, I=307, N=526]
4test_dirty6dB.rec:   49.43( -8.75)  [H= 260, D= 46, S=220, I=306, N=526]
4umo_001ut-3dB.rec:   39.54(-12.93)  [H= 208, D= 65, S=253, I=276, N=526]
4umo_001ut-6dB.rec:   36.31( -9.51)  [H= 191, D= 55, S=280, I=241, N=526]
4umo_001ut00dB.rec:   39.92( -9.70)  [H= 210, D= 54, S=262, I=261, N=526]
4umo_001ut03dB.rec:   44.49( -7.79)  [H= 234, D= 59, S=233, I=275, N=526]
4umo_001ut06dB.rec:   49.24( -3.61)  [H= 259, D= 61, S=206, I=278, N=526]
4umo_010ut-3dB.rec:   38.59(-10.27)  [H= 203, D= 45, S=278, I=257, N=526]
4umo_010ut-6dB.rec:   35.36(-10.27)  [H= 186, D= 56, S=284, I=240, N=526]
4umo_010ut00dB.rec:   40.30(-12.17)  [H= 212, D= 55, S=259, I=276, N=526]
